Day,Metric,Unit,Amount
2016-9-25,"Weight",kg,77.0
2016-9-26,"Weight",kg,76.9
2016-9-27,"Weight",kg,76.4
2016-9-28,"Weight",kg,76.0
2016-9-29,"Weight",kg,75.4
2016-9-30,"Weight",kg,75.4
2016-10-1,"Weight",kg,75.4
2016-10-2,"Weight",kg,75.8
2016-10-3,"Weight",kg,75.7
2016-10-4,"Weight",kg,75.2
2016-10-5,"Weight",kg,75.5
2016-10-6,"Weight",kg,75.5
2016-10-7,"Weight",kg,75.0
2016-10-8,"Weight",kg,74.7
2016-10-9,"Weight",kg,75.5
2016-10-10,"Weight",kg,75.1
2016-10-11,"Weight",kg,74.4
2016-10-12,"Weight",kg,75.4
2016-10-13,"Weight",kg,75.4
2016-10-14,"Weight",kg,74.8
2016-10-15,"Weight",kg,75.1
2016-10-16,"Weight",kg,74.7
2016-10-17,"Weight",kg,74.7
2016-10-18,"Weight",kg,74.3
2016-10-19,"Weight",kg,74.1
2016-10-20,"Weight",kg,74.1
2016-10-21,"Weight",kg,74.1
2016-10-22,"Weight",kg,74.1
2016-10-23,"Weight",kg,74.3
2016-10-24,"Weight",kg,74.6
2016-10-25,"Weight",kg,73.7
2016-10-26,"Weight",kg,73.7
2016-10-27,"Weight",kg,73.4
2016-10-28,"Weight",kg,73.4
2016-10-29,"Weight",kg,73.4
2016-10-30,"Weight",kg,73.9
2016-10-31,"Weight",kg,73.9
2016-11-1,"Weight",kg,74.7
2016-11-2,"Weight",kg,74.1
2016-11-3,"Weight",kg,73.4
2016-11-4,"Weight",kg,73.6
2016-11-5,"Weight",kg,73.1
2016-11-6,"Weight",kg,73.2
2016-11-7,"Weight",kg,73.4
2016-11-8,"Weight",kg,74.0
2016-11-9,"Weight",kg,74.0
2016-11-10,"Weight",kg,73.5
2016-11-11,"Weight",kg,73.0
2016-11-12,"Weight",kg,73.0
2016-11-13,"Weight",kg,73.3
2016-11-14,"Weight",kg,73.5
2016-11-15,"Weight",kg,72.9
2016-11-16,"Weight",kg,72.9
2016-11-17,"Weight",kg,72.9
2016-11-18,"Weight",kg,72.9
2016-11-19,"Weight",kg,72.9
2016-11-20,"Weight",kg,72.9
2016-11-21,"Weight",kg,73.3
2016-11-22,"Weight",kg,72.8
2016-11-23,"Weight",kg,72.4
2016-11-24,"Weight",kg,72.4
2016-11-25,"Weight",kg,72.0
2016-11-26,"Weight",kg,72.1
2016-11-27,"Weight",kg,72.4
2016-11-28,"Weight",kg,72.4
2016-11-29,"Weight",kg,72.6
2016-11-30,"Weight",kg,72.4
2016-12-1,"Weight",kg,72.4
2016-12-2,"Weight",kg,71.7
2016-12-3,"Weight",kg,72.2
2016-12-4,"Weight",kg,72.3
2016-12-5,"Weight",kg,72.3
2016-12-6,"Weight",kg,72.3
2016-12-7,"Weight",kg,72.3
2016-12-8,"Weight",kg,71.5
2016-12-9,"Weight",kg,71.4
2016-12-10,"Weight",kg,71.4
2016-12-11,"Weight",kg,72.9
2016-12-12,"Weight",kg,72.0
2016-12-13,"Weight",kg,72.0
2016-12-14,"Weight",kg,71.4
2016-12-15,"Weight",kg,71.1
2016-12-16,"Weight",kg,70.8
2016-12-17,"Weight",kg,71.3
2016-12-18,"Weight",kg,70.5
2016-12-19,"Weight",kg,71.3
2016-12-20,"Weight",kg,71.3
2016-12-21,"Weight",kg,71.3
2016-12-22,"Weight",kg,71.3
2016-12-23,"Weight",kg,72.1
2016-12-24,"Weight",kg,71.5
2016-12-25,"Weight",kg,71.3
2016-12-26,"Weight",kg,71.3
2016-12-27,"Weight",kg,71.3
2016-12-28,"Weight",kg,71.3
2016-12-29,"Weight",kg,70.9
2016-12-30,"Weight",kg,70.9
2016-12-31,"Weight",kg,70.1
2017-1-1,"Weight",kg,70.8
2017-1-2,"Weight",kg,71.1
2017-1-3,"Weight",kg,70.8
2017-1-4,"Weight",kg,71.4
2017-1-5,"Weight",kg,70.8
2017-1-6,"Weight",kg,70.3
2017-1-7,"Weight",kg,71.3
2017-1-8,"Weight",kg,70.9
2017-1-9,"Weight",kg,71.5
2017-1-10,"Weight",kg,70.9
2017-1-11,"Weight",kg,70.9
2017-1-12,"Weight",kg,70.9
2017-1-13,"Weight",kg,70.0
2017-1-14,"Weight",kg,70.9
2017-1-15,"Weight",kg,70.6
2017-1-16,"Weight",kg,70.1
2017-1-17,"Weight",kg,70.8
2017-1-18,"Weight",kg,70.8
2017-1-19,"Weight",kg,70.8
2017-1-20,"Weight",kg,70.8
2017-1-21,"Weight",kg,71.2
2017-1-22,"Weight",kg,71.3
2017-1-23,"Weight",kg,71.0
2017-1-24,"Weight",kg,70.1
2017-1-25,"Weight",kg,70.8
2017-1-26,"Weight",kg,70.9
2017-1-27,"Weight",kg,70.6
2017-1-28,"Weight",kg,70.1
2017-1-29,"Weight",kg,71.1
2017-1-30,"Weight",kg,70.9
2017-1-31,"Weight",kg,70.7
2017-2-1,"Weight",kg,70.5
2017-2-2,"Weight",kg,70.5
2017-2-3,"Weight",kg,70.9
2017-2-4,"Weight",kg,70.9
2017-2-5,"Weight",kg,70.9
2017-2-6,"Weight",kg,70.9
2017-2-7,"Weight",kg,71.3
2017-2-8,"Weight",kg,70.8
2017-2-9,"Weight",kg,70.8
2017-2-10,"Weight",kg,70.5
2017-2-11,"Weight",kg,71.0
2017-2-12,"Weight",kg,71.5
