2016-09-25,77.0,0,---,0,---,---,---
2016-09-26,76.9,111.63,1229.01,-1117.38,-67.38,-880.0,-170.0
2016-09-27,76.4,-489.5,786.26,-1275.76,-225.76,-880.0,-170.0
2016-09-28,76.0,-197.8,1077.04,-1274.84,-224.84,-880.0,-170.0
2016-09-29,75.4,284.15,1551.87,-1267.72,-217.72,-880.0,-170.0
2016-09-30,75.4,52.01,1102.01,-1050,0.0,-880.0,-170.0
2016-10-01,75.4,324.42,1439.74,-1115.32,-65.32,-880.0,-170.0
2016-10-02,75.8,-64.65,1271.42,-1336.07,-286.07,-880.0,-170.0
2016-10-03,75.7,-303.64,1045.75,-1349.39,-299.39,-880.0,-170.0
2016-10-04,75.2,-225.43,1021.97,-1247.4,-197.4,-880.0,-170.0
2016-10-05,75.5,-320.3,1007.16,-1327.46,-277.46,-880.0,-170.0
2016-10-06,75.5,-200.99,981.13,-1182.12,-132.12,-880.0,-170.0
2016-10-07,75.0,-188.71,1068.01,-1256.72,-206.72,-880.0,-170.0
2016-10-08,74.7,78.49,1128.49,-1050,0.0,-880.0,-170.0
2016-10-09,75.5,-249.73,865.67,-1115.4,-65.4,-880.0,-170.0
2016-10-10,75.1,-106.19,1275,-1381.19,-331.19,-880.0,-170.0
2016-10-11,74.4,21.82,1243.68,-1221.86,-171.86,-880.0,-170.0
2016-10-12,75.4,-190.93,1122.97,-1313.9,-263.9,-880.0,-170.0
2016-10-13,75.4,102.44,1251.4,-1148.96,-98.96,-880.0,-170.0
2016-10-14,74.8,-30.45,1314.08,-1344.53,-294.53,-880.0,-170.0
2016-10-15,75.1,-183.13,1162.58,-1345.71,-295.71,-880.0,-170.0
2016-10-16,74.7,393.98,1443.98,-1050,0.0,-880.0,-170.0
2016-10-17,74.7,-289.97,1099.92,-1389.89,-339.89,-880.0,-170.0
2016-10-18,74.3,-310.4,1056.87,-1367.27,-317.27,-880.0,-170.0
2016-10-19,74.1,-239.43,1102.34,-1341.77,-291.77,-880.0,-170.0
2016-10-20,74.1,-250.75,1084.54,-1335.29,-285.29,-880.0,-170.0
2016-10-21,74.1,96.33,1243.59,-1147.26,-97.26,-880.0,-170.0
2016-10-22,74.1,-186.62,1125.97,-1312.59,-262.59,-880.0,-170.0
2016-10-23,74.3,-148.91,1072.72,-1221.63,-171.63,-880.0,-170.0
2016-10-24,74.6,-546.02,813.45,-1359.47,-309.47,-880.0,-170.0
2016-10-25,73.7,-456.6,996.45,-1453.05,-403.05,-880.0,-170.0
2016-10-26,73.7,-374.97,868.49,-1243.46,-193.46,-880.0,-170.0
2016-10-27,73.4,-229.97,820.03,-1050,0.0,-880.0,-170.0
2016-10-28,73.4,-49.93,1205.59,-1255.52,-205.52,-880.0,-170.0
2016-10-29,73.4,238.34,1288.34,-1050,0.0,-880.0,-170.0
2016-10-30,73.9,327.37,1377.37,-1050,0.0,-880.0,-170.0
2016-10-31,73.9,32.38,1428.98,-1396.6,-346.6,-880.0,-170.0
2016-11-01,74.7,-539.91,912.07,-1451.98,-401.98,-880.0,-170.0
2016-11-02,74.1,-293.85,1015.5,-1309.35,-259.35,-880.0,-170.0
2016-11-03,73.4,-196.49,1158.58,-1355.07,-305.07,-880.0,-170.0
2016-11-04,73.6,-267.46,937.1,-1204.56,-154.56,-880.0,-170.0
2016-11-05,73.1,-123,1214.83,-1337.83,-287.83,-880.0,-170.0
2016-11-06,73.2,-111.57,938.43,-1050,0.0,-880.0,-170.0
2016-11-07,73.4,203.58,1349.92,-1146.34,-96.34,-880.0,-170.0
2016-11-08,74.0,-329.42,1060.52,-1389.94,-339.94,-880.0,-170.0
2016-11-09,74.0,1.6,1310.6,-1309,-259,-880.0,-170.0
2016-11-10,73.5,-291.09,1016.16,-1307.25,-257.25,-880.0,-170.0
2016-11-11,73.0,-230.17,967.38,-1197.55,-147.55,-880.0,-170.0
2016-11-12,73.0,-201.37,1168.01,-1369.38,-319.38,-880.0,-170.0
2016-11-13,73.3,386.38,1532.19,-1145.81,-95.81,-880.0,-170.0
2016-11-14,73.5,-506.71,851.99,-1358.7,-308.7,-880.0,-170.0
2016-11-15,72.9,-294.56,1090.32,-1384.88,-334.88,-880.0,-170.0
2016-11-16,72.9,-456.94,932.41,-1389.35,-339.35,-880.0,-170.0
2016-11-17,72.9,111.49,1400.69,-1289.2,-239.2,-880.0,-170.0
2016-11-18,72.9,-228.57,1108.47,-1337.04,-287.04,-880.0,-170.0
2016-11-19,72.9,74.46,1220.14,-1145.68,-95.68,-880.0,-170.0
2016-11-20,72.9,50.89,1248.24,-1197.35,-147.35,-880.0,-170.0
2016-11-21,73.3,-241.5,1153.56,-1395.06,-345.06,-880.0,-170.0
2016-11-22,72.8,-684.8,747.4,-1432.2,-382.2,-880.0,-170.0
2016-11-23,72.4,-433.22,927.2,-1360.42,-310.42,-880.0,-170.0
2016-11-24,72.4,-117.07,1186.33,-1303.4,-253.4,-880.0,-170.0
2016-11-25,72.0,-340.02,1050.18,-1390.2,-340.2,-880.0,-170.0
2016-11-26,72.1,-478.15,855.74,-1333.89,-283.89,-880.0,-170.0
2016-11-27,72.4,-153.21,1124.85,-1278.06,-228.06,-880.0,-170.0
2016-11-28,72.4,-312.72,1054.03,-1366.75,-316.75,-880.0,-170.0
2016-11-29,72.6,-297.67,1149.37,-1447.04,-397.04,-880.0,-170.0
2016-11-30,72.4,-78.89,1298,-1376.89,-326.89,-880.0,-170.0
2016-12-01,72.4,-440.37,885.84,-1326.21,-276.21,-880.0,-170.0
