Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2016-9-26,"Bear Naked Granola Fruit and Nut","0.52 Serving (22 tsp, whole pieces)",133.64,0.00,0.00,3.19,0.09,0.00,0.07,0.31,0.21,0.03,7.37,0.85,0.09,0.00,1.02,1.96,8.34,0.13,0.68,32.02,0.75,83.94,100.01,4.92,2.00,0.76,17.00,2.34,8.73,5.69,6.63,0.00,2.87,0.33,1.61,1.95,1.43,0.01,0.08,0.06,0.11,0.21,0.12,0.04,0.14,2.85,0.09,0.04,0.08,0.14
2016-9-26,"Quaker Multi-Grain hot cereal","1.00 cup",171.95,0.00,0.00,229.95,0.18,0.00,0.11,2.05,0.50,0.15,18.65,2.23,0.00,0.00,0.39,1.83,23.77,0.21,1.54,59.00,1.28,172.19,205.60,15.81,206.68,1.37,36.40,5.94,27.01,0.42,1.33,0.00,0.29,0.05,0.51,0.55,0.21,0.00,0.16,0.11,0.18,0.36,0.19,0.09,0.27,5.48,0.16,0.07,0.14,0.23
2016-9-26,"Frozen pizza, cheese, flatbread crust","1.00 9"" diameter",558.04,0.00,0.00,104.20,0.66,1.44,0.59,4.56,0.77,0.21,109.13,1297.86,9.53,14.47,3.41,12.75,577.13,0.25,3.58,47.68,0.47,486.07,529.51,38.46,1216.75,3.61,49.05,3.47,35.33,6.91,28.40,66.45,9.18,0.44,3.47,3.93,13.00,0.61,0.26,0.72,1.29,2.26,1.42,0.61,1.34,27.52,1.06,0.49,1.24,1.58
2016-9-26,"Tap water","5.00 cup",0.00,0.00,0.00,1183.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.55,0.12,0.00,11.85,0.00,0.00,0.00,0.00,47.40,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-9-26,"Rice and beans","1.00 cup",365.38,0.00,0.00,150.98,0.42,0.00,0.08,1.97,0.65,0.20,180.75,43.86,1.59,0.00,1.05,25.56,47.56,0.30,3.59,86.24,0.97,193.81,439.71,13.57,471.72,1.68,53.53,9.65,31.30,1.68,11.73,0.00,2.61,0.86,5.73,6.59,1.93,0.06,0.16,0.32,0.52,0.95,0.73,0.20,0.64,12.01,0.48,0.14,0.35,0.64
2016-9-27,"Subway Veggie Delite Sandwich, no mayo","1.00 each - 6"" sub",267.00,0.00,0.00,113.39,0.36,0.17,0.25,4.73,0.80,0.16,82.44,558.52,12.03,33.11,0.48,15.34,232.15,0.17,3.09,47.23,1.03,208.09,311.97,25.08,458.76,1.36,42.53,4.23,28.60,6.97,6.07,11.00,1.40,0.14,1.23,1.38,2.63,0.15,0.12,0.17,0.29,0.52,0.33,0.13,0.34,11.20,0.24,0.09,0.22,0.35
2016-9-27,"Tap water","2.00 cup",0.00,0.00,0.00,473.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.22,0.05,0.00,4.74,0.00,0.00,0.00,0.00,18.96,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-9-27,"Spinach juice","1.00 cup",4.43,0.00,0.00,243.02,0.02,0.00,0.04,0.09,0.03,0.05,28.13,2019.65,1.89,0.00,0.40,95.12,30.69,0.03,0.69,17.80,0.18,10.79,89.82,0.29,123.36,0.15,0.72,0.46,0.00,0.08,0.05,0.00,0.00,0.02,0.00,0.02,0.01,0.00,0.01,0.01,0.03,0.04,0.04,0.01,0.03,0.57,0.02,0.01,0.02,0.03
2016-9-27,"Rice and beans","1.00 cup",365.38,0.00,0.00,150.98,0.42,0.00,0.08,1.97,0.65,0.20,180.75,43.86,1.59,0.00,1.05,25.56,47.56,0.30,3.59,86.24,0.97,193.81,439.71,13.57,471.72,1.68,53.53,9.65,31.30,1.68,11.73,0.00,2.61,0.86,5.73,6.59,1.93,0.06,0.16,0.32,0.52,0.95,0.73,0.20,0.64,12.01,0.48,0.14,0.35,0.64
2016-9-27,"Yogurt, plain, whole milk","1.00 cup",149.45,0.00,0.00,215.36,0.07,0.91,0.35,0.18,0.95,0.08,17.15,242.55,1.23,4.90,0.21,0.51,296.46,0.02,0.12,29.40,0.01,232.75,379.76,5.39,112.70,1.45,11.42,0.00,0.00,11.42,7.96,31.85,2.19,0.07,0.16,0.23,5.14,0.17,0.08,0.21,0.46,0.86,0.76,0.25,0.46,8.50,0.35,0.05,0.43,0.70
